method,method_label,target,splits,n,rmse,mae,r2,corr,coverage,width,width_std,width_cv,winkler,macro_well_coverage,p10_well_coverage,worst_well_coverage,worst_well,macro_well_width,macro_well_winkler,seed,frac,strategy
wl_pcqr,WL-PCQR,PHIF,9,1008,0.01437560324039087,0.008499530176215719,0.9438735779460877,0.9726116902213504,0.8720238095238095,0.039022739898545884,0.02207300180179288,0.5808789599233942,0.06732116632904273,0.8720238095238094,0.8089285714285714,0.7946428571428571,4,0.039022739898545884,0.06732116632904273,7,0.3,random
wl_pcqr,WL-PCQR,PHIF,9,1008,0.013847832674993826,0.00860746412562517,0.9546152210171042,0.9782232519126784,0.9206349206349206,0.04582316745129084,0.020275662666790772,0.469517443286596,0.061053574299892784,0.9206349206349207,0.8839285714285714,0.8839285714285714,4,0.04582316745129085,0.06105357429989279,7,0.3,stratified
wl_pcqr,WL-PCQR,PHIF,9,1296,0.01850506377468387,0.011449648259402865,0.9262800909480416,0.9704874086401898,0.7631172839506173,0.04006371113630848,0.02240152785345596,0.5875177940988631,0.10299626368469227,0.7631172839506173,0.49027777777777776,0.4236111111111111,1,0.040063711136308494,0.10299626368469227,123,0.1,contiguous
wl_pcqr,WL-PCQR,PHIF,9,1296,0.015640485594924022,0.009509908702671733,0.9417687618272816,0.9719214447260646,0.9066358024691358,0.04746914275228609,0.023243235473182116,0.4875132265798115,0.07033375961146185,0.9066358024691357,0.8083333333333333,0.7916666666666666,7,0.0474691427522861,0.07033375961146185,123,0.1,random
wl_pcqr,WL-PCQR,PHIF,9,1296,0.015354257303208012,0.009243315996490076,0.9415293097790733,0.9720042119164579,0.9220679012345679,0.046071053746750086,0.02313480834027857,0.5094534598440196,0.06553985512472449,0.9220679012345678,0.8986111111111111,0.8819444444444444,6,0.046071053746750086,0.06553985512472447,123,0.1,stratified
wl_pcqr,WL-PCQR,PHIF,9,1152,0.018275530378471298,0.011046610791211896,0.9253001397983817,0.9682233015183095,0.6614583333333334,0.030549165666132836,0.020573368336942156,0.6641005095810194,0.10795012798470953,0.6614583333333334,0.49375,0.46875,0,0.030549165666132836,0.10795012798470953,123,0.2,contiguous
wl_pcqr,WL-PCQR,PHIF,9,1152,0.01590168781863455,0.009105545644133479,0.9389315540380669,0.9710516377729463,0.8949652777777778,0.044711335867773164,0.026164292308045355,0.5884750215231608,0.06797842531119953,0.8949652777777778,0.8609375,0.8359375,4,0.044711335867773164,0.06797842531119953,123,0.2,random
wl_pcqr,WL-PCQR,PHIF,9,1152,0.014346928662560895,0.008909760159737986,0.9450060271440045,0.9730956523425215,0.9236111111111112,0.045735038949928045,0.024103636220742117,0.5035199809741512,0.06583343498427989,0.9236111111111112,0.8765625,0.8515625,6,0.045735038949928045,0.06583343498427989,123,0.2,stratified
wl_pcqr,WL-PCQR,PHIF,9,1008,0.019120979278633744,0.011670951434691637,0.9134706385785831,0.9618538382253743,0.7371031746031746,0.03655404419720476,0.02208589869494514,0.6058912139239654,0.101175620760477,0.7371031746031746,0.6464285714285714,0.5535714285714286,0,0.03655404419720475,0.10117562076047698,123,0.3,contiguous
wl_pcqr,WL-PCQR,PHIF,9,1008,0.014909321690160184,0.008176283218116507,0.9405463316215296,0.9716204945112177,0.9037698412698413,0.04464964866837936,0.024129250017422152,0.5430876905163884,0.06402556548468714,0.9037698412698413,0.85,0.8214285714285714,8,0.044649648668379366,0.06402556548468714,123,0.3,random
wl_pcqr,WL-PCQR,PHIF,9,1008,0.013653745277286846,0.00844150219236877,0.9551645361105,0.9784257664362782,0.9275793650793651,0.04514765894237073,0.02009659776629951,0.4751021908840303,0.06032477529780017,0.927579365079365,0.9,0.8928571428571429,1,0.04514765894237074,0.06032477529780018,123,0.3,stratified
wl_pcqr,WL-PCQR,SW,9,1296,0.08823838996886112,0.05228708636485597,0.6304987691862742,0.8569889787156442,0.8387345679012346,0.1509618453334249,0.12448759002939881,1.0172653131077536,0.37724406809634625,0.8387345679012346,0.6875,0.6597222222222222,5,0.15096184533342488,0.37724406809634625,42,0.1,contiguous
wl_pcqr,WL-PCQR,SW,9,1296,0.07032103008579146,0.04232423736601728,0.6803931894015917,0.8482141617826754,0.9421296296296297,0.1842196022805704,0.1277615747798358,0.9014068849592465,0.2642729039492507,0.9421296296296298,0.8569444444444445,0.8402777777777778,4,0.18421960228057038,0.2642729039492507,42,0.1,random
wl_pcqr,WL-PCQR,SW,9,1296,0.06709855345407724,0.03893704045534595,0.7508846146750937,0.8970558967032057,0.9452160493827161,0.18811237286445368,0.12853268153819633,0.8745084162466367,0.24912455053599247,0.9452160493827161,0.8972222222222223,0.875,0,0.1881123728644537,0.24912455053599242,42,0.1,stratified
